Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Aberdeen, WA",5.0%,18.3%,14.1,25.9%,15.4%,724,2.5%,-,51.4%,45.4%,"$1,484","$1,855",-0.30%,347,25.5%,42.2%,19.0%,91,3.4%,1.2%,"$399,913",0.0%,100,13.6%,-8.8%,"77,290","$68,565",4.5%,12.3%,9.4%,"$315,682",1.0%,47.8%,21.1%,4.6,"$2,061","$82,451",36.0%,0.8%,38.8%,-3.9%,-,17.0%,74.8%,52%,43.4,13.1%,"37,364",0.9%,4.4%,38,48,50.0
"Abilene, TX",7.3%,13.7%,9.7,24.5%,2.6%,"1,657",6.6%,450,76.9%,22.0%,"$1,280","$1,600",0.05%,671,13.4%,40.7%,19.0%,78,7.5%,1.5%,"$245,950",-11.2%,196,-10.9%,-5.5%,"180,821","$62,487",5.5%,14.0%,7.5%,"$186,346",1.3%,35.1%,13.6%,2.9,"$1,281","$51,247",24.6%,1.2%,0.0%,3.6%,-,26.9%,62.2%,50%,35.9,11.4%,"76,561",0.9%,5.5%,38,67,61.0
"Ada, OK",5.6%,14.3%,13.1,16.3%,0.5%,457,3.9%,-,72.2%,25.6%,$869,"$1,086",0.46%,127,52.4%,17.1%,13.8%,69,-6.1%,1.2%,"$272,500",27.9%,40,17.6%,2.4%,"38,158","$63,815",-0.5%,26.6%,3.7%,"$171,625",2.0%,45.9%,5.9%,2.6,"$1,095","$43,805",20.5%,0.6%,25.9%,3.7%,14.5%,29.7%,66.4%,52%,37.5,11.2%,"17,483",1.1%,8.2%,46,44,56.0
"Akron, OH",5.7%,7.1%,11.6,20.7%,1.3%,"2,147",1.7%,"1,119",48.6%,50.3%,"$1,238","$1,548",0.52%,862,21.9%,-20.8%,21.1%,59,10.8%,0.4%,"$199,950",-6.9%,512,4.9%,-10.7%,"698,398","$71,527",-0.9%,25.1%,14.7%,"$215,668",5.9%,47.1%,18.0%,3.0,"$1,514","$60,586",25.4%,1.3%,22.2%,13.1%,-16.2%,36.5%,68.1%,62%,40.8,12.1%,"321,142",0.3%,5.6%,55,50,48.0
"Alamogordo, NM",7.3%,23.1%,10.4,32.9%,16.0%,402,3.3%,-,62.3%,35.4%,"$1,423","$1,779",0.99%,251,44.2%,-10.9%,12.3%,92,24.9%,1.1%,"$304,975",3.9%,68,6.2%,-2.3%,"68,835","$51,777",3.0%,31.5%,5.9%,"$223,903",7.0%,65.9%,28.1%,4.3,"$1,421","$56,849",32.9%,0.5%,-0.1%,16.4%,-,21.7%,70.2%,45%,36.7,18.7%,"32,901",0.5%,2.9%,54,59,52.0
"Albany, GA",6.9%,13.1%,10.4,21.9%,1.6%,-201,2.8%,204,48.4%,51.0%,$991,"$1,239",0.01%,386,61.5%,11.4%,16.3%,90,11.7%,1.2%,"$189,475",-5.2%,120,9.0%,4.4%,"145,498","$54,117",-3.0%,33.2%,7.0%,"$154,881",4.6%,56.7%,10.9%,2.8,"$1,045","$41,828",23.1%,1.0%,5.4%,13.6%,-17.3%,20.8%,53.1%,62%,38.3,18.0%,"67,028",-0.1%,1.2%,49,53,39.0
"Albany, NY",4.2%,9.0%,13.7,22.8%,3.6%,"1,369",3.4%,"2,111",44.6%,54.6%,"$1,598","$1,997",0.31%,989,-6.6%,-49.1%,9.2%,71,-3.0%,0.3%,"$407,475",-3.7%,480,3.0%,-13.5%,"904,556","$84,058",2.3%,14.5%,13.1%,"$329,071",6.0%,43.4%,14.6%,3.9,"$2,420","$96,810",34.5%,1.7%,51.4%,13.3%,-7.9%,41.2%,63.9%,61%,41.0,11.1%,"424,542",0.1%,5.5%,61,44,51.0
"Albany, OR",4.1%,4.1%,16.6,26.9%,1.1%,"1,055",5.8%,362,60.3%,36.0%,"$1,615","$2,019",0.34%,262,14.1%,16.3%,20.7%,79,17.5%,0.7%,"$455,948",0.2%,106,8.1%,-0.3%,"131,496","$71,958",3.2%,17.0%,9.9%,"$404,010",3.5%,49.8%,29.8%,5.6,"$2,639","$105,568",44.0%,0.8%,63.3%,2.5%,-,23.4%,66.8%,66%,40.4,14.9%,"53,875",0.8%,3.2%,46,46,44.0
"Albemarle, NC",6.7%,12.8%,11.3,30.0%,3.4%,"1,610",5.2%,-,74.9%,24.1%,"$1,669","$2,086",0.43%,193,10.3%,6.8%,18.1%,78,19.2%,0.9%,"$329,998",0.1%,72,0.0%,-7.0%,"65,699","$66,765",7.5%,26.8%,7.7%,"$284,107",5.4%,73.4%,18.9%,4.2,"$1,795","$71,818",32.2%,0.5%,7.5%,11.0%,-,19.1%,76.9%,53%,41.6,9.0%,"29,101",2.4%,-,49,-,60.0
"Albert Lea, MN",5.6%,8.7%,12.3,16.1%,1.1%,-85,-1.3%,-,59.8%,38.6%,$950,"$1,187",0.30%,74,64.4%,16.5%,21.2%,69,-5.5%,0.7%,"$230,550",15.2%,10,66.6%,-3.9%,"30,752","$70,392",0.7%,31.2%,7.4%,"$176,648",3.0%,46.5%,16.0%,2.5,"$1,191","$47,651",20.3%,1.0%,25.3%,9.7%,-,18.0%,79.3%,52%,43.9,9.4%,"14,116",-0.2%,-,50,-,69.0
